name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water,price
"Baking chocolate, M&M's Semisweet Chocolate Mini Baking Bits, MARS SNACKFOOD US",100 g,517,26g,16g,3mg,2.00 mg,0,0,0,0,0,0,0,74.00 IU,0,0,0,0,0,0,0,0,0.0 mg,0,0,0,0,34.00 mg,0,2.91 mg,0,0,0,0,0,0,4.44 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.96 g,6.7 g,53.07 g,0,0,0,0,0,0,26.15 g,15.618 g,0,0,3.00 mg,0,2.07 g,0,0,1.27 g,1.5029
"Fast foods, with condiments and vegetables, regular patty, cheeseburger; single",100 g,254,12g,5.2g,36mg,546.00 mg,37.3 mg,42.00 mcg,28.00 mcg,3.080 mg,0.302 mg,0.171 mg,0.361 mg,107.00 IU,12.00 mcg,1.00 mcg,47.00 mcg,3.00 mcg,22.00 mcg,0,1.30 mcg,0.956 mg,0.6 mg,2.00 IU,0.30 mg,0.30 mg,4.2 mcg,92.00 mg,0.109 mg,2.78 mg,22.00 mg,0.242 mg,134.00 mg,178.00 mg,21.9 mcg,2.18 mg,13.06 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.97 g,1.4 g,5.11 g,2.23 g,0,2.06 g,0.23 g,0.15 g,0.00 g,11.50 g,5.181 g,4.398 g,1.181 g,36.00 mg,0.0 g,2.41 g,0.00 mg,0.00 mg,48.06 g,0.5719
"Beef, fast fried, cooked, separable lean only, striploin, imported, New Zealand",100 g,217,11g,3.9g,70mg,55.00 mg,0,0,0,4.842 mg,0.410 mg,0.086 mg,0.053 mg,63.00 IU,19.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.94 mcg,0.323 mg,0.0 mg,13.00 IU,0.53 mg,0.53 mg,0,6.00 mg,0.078 mg,1.96 mg,24.00 mg,0.004 mg,217.00 mg,364.00 mg,4.0 mcg,3.41 mg,28.53 g,1.485 g,1.877 g,0,0,3.979 g,1.554 g,1.028 g,0,1.186 g,2.153 g,2.259 g,0.938 g,1.109 g,0.916 g,1.003 g,1.033 g,0.299 g,0.960 g,1.259 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,11.40 g,3.918 g,4.703 g,0.338 g,70.00 mg,0.0 g,1.09 g,0.00 mg,0.00 mg,59.61 g,1.8088
"Yogurt, fortified with vitamin D, 10 grams protein per 8 ounce, low fat, fruit",100 g,102,1.1g,0.7g,4mg,58.00 mg,14.0 mg,9.00 mcg,0.00 mcg,0.095 mg,0.489 mg,0.178 mg,0.037 mg,36.00 IU,10.00 mcg,0.00 mcg,2.00 mcg,0.00 mcg,0.00 mcg,0,0.47 mcg,0.040 mg,0.7 mg,52.00 IU,0.02 mg,0.02 mg,0.1 mcg,152.00 mg,0.080 mg,0.07 mg,15.00 mg,0.065 mg,119.00 mg,195.00 mg,3.1 mcg,0.74 mg,4.37 g,0.187 g,0.132 g,0.347 g,0.040 g,0.856 g,0.105 g,0.108 g,0,0.238 g,0.440 g,0.392 g,0.129 g,0.238 g,0.518 g,0.271 g,0.179 g,0.025 g,0.221 g,0.362 g,19.05 g,0.0 g,19.05 g,0,0,0,0,0,0,1.08 g,0.697 g,0.297 g,0.031 g,4.00 mg,0.0 g,1.02 g,0.00 mg,0.00 mg,74.48 g,0.2527
"Veal, roasted, cooked, separable lean and fat, whole (arm and blade), shoulder",100 g,184,8.4g,3.4g,113mg,96.00 mg,0,12.00 mcg,0.00 mcg,6.330 mg,1.300 mg,0.340 mg,0.070 mg,0.00 IU,0.00 mcg,0,0,0,0,0,1.82 mcg,0.260 mg,0.0 mg,0,0.46 mg,0.46 mg,0,27.00 mg,0.139 mg,1.03 mg,25.00 mg,0.030 mg,215.00 mg,322.00 mg,10.7 mcg,5.12 mg,25.32 g,1.506 g,1.489 g,2.184 g,0.286 g,4.005 g,1.301 g,0.919 g,0,1.247 g,2.015 g,2.087 g,0.591 g,1.022 g,1.057 g,0.949 g,1.106 g,0.256 g,0.807 g,1.400 g,0.00 g,0.0 g,0,0,0,0,0,0,0,8.42 g,3.400 g,3.160 g,0.610 g,113.00 mg,0,1.40 g,0,0,65.31 g,2.3142
"Veal, braised, cooked, separable lean and fat, whole (arm and blade), shoulder",100 g,228,10g,3.8g,126mg,95.00 mg,123.8 mg,15.00 mcg,0.00 mcg,6.420 mg,1.530 mg,0.340 mg,0.060 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,1.84 mcg,0.250 mg,0.0 mg,0.00 IU,0.42 mg,0.42 mg,5.9 mcg,35.00 mg,0.151 mg,1.42 mg,27.00 mg,0.036 mg,250.00 mg,309.00 mg,14.2 mcg,6.59 mg,32.06 g,1.907 g,1.886 g,2.766 g,0.362 g,5.071 g,1.648 g,1.164 g,0,1.579 g,2.552 g,2.642 g,0.748 g,1.294 g,1.339 g,1.202 g,1.401 g,0.325 g,1.022 g,1.772 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,10.14 g,3.750 g,3.900 g,0.730 g,126.00 mg,0.0 g,1.24 g,0.00 mg,0.00 mg,56.40 g,2.3142
"Cereals, prepared with water, with raisins and spice, fortified, instant, oats",100 g,88,1g,0.2g,0,111.00 mg,6.0 mg,50.00 mcg,45.00 mcg,2.343 mg,0.188 mg,0.152 mg,0.179 mg,460.00 IU,138.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,24.00 mcg,0,0.00 mcg,0.253 mg,0.1 mg,0.00 IU,0.09 mg,0.09 mg,0.5 mcg,56.00 mg,0.074 mg,2.21 mg,19.00 mg,0.466 mg,64.00 mg,85.00 mg,1.6 mcg,0.42 mg,1.98 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.91 g,1.3 g,8.71 g,0,0,0,0,0,0,0.95 g,0.150 g,0.283 g,0.299 g,0.00 mg,0.0 g,0.72 g,0.00 mg,0.00 mg,78.44 g,0.1064
"CAMPBELL'S Homestyle Microwaveable Bowls, HEALTHY REQUEST Italian Wedding Soup",100 g,41,1g,0.4g,4mg,167.00 mg,0,0,0,0,0,0,0,408.00 IU,0,0,0,0,0,0,0,0,0.0 mg,0,0,0,0,16.00 mg,0,0.29 mg,0,0,0,216.00 mg,0,0,2.45 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.31 g,0.8 g,1.63 g,0,0,0,0,0,0,1.02 g,0.408 g,0.204 g,0.000 g,4.00 mg,0,2.40 g,0,0,88.50 g,0.2394
"Chicken, braised, cooked, with added solution, meat only, drumstick, dark meat",100 g,149,6.3g,1.7g,135mg,169.00 mg,69.2 mg,4.00 mcg,0.00 mcg,5.070 mg,0,0.160 mg,0.080 mg,23.00 IU,7.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.31 mcg,0.310 mg,0.0 mg,2.00 IU,0.17 mg,0.17 mg,3.7 mcg,14.00 mg,0.049 mg,0.78 mg,21.00 mg,0.014 mg,170.00 mg,229.00 mg,29.8 mcg,2.34 mg,22.99 g,1.377 g,1.605 g,2.260 g,0.268 g,3.766 g,1.054 g,0.686 g,0,1.098 g,1.959 g,2.169 g,0.658 g,0.918 g,0.927 g,0.962 g,1.087 g,0.259 g,0.864 g,1.117 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,6.33 g,1.730 g,2.620 g,1.349 g,135.00 mg,0.0 g,1.13 g,0.00 mg,0.00 mg,70.18 g,0.4522
"KFC, skin and breading removed, meat only, Breast, EXTRA CRISPY, Fried Chicken",100 g,153,4.8g,1.2g,87mg,477.00 mg,0,0,0,10.897 mg,1.626 mg,0.127 mg,0.060 mg,0,0,0,0,0,0,0,0.30 mcg,0.416 mg,0,0,0,0,0,20.00 mg,0.044 mg,0.51 mg,28.00 mg,0.048 mg,253.00 mg,309.00 mg,27.8 mcg,0.89 mg,27.25 g,1.552 g,1.541 g,1.851 g,0.316 g,6.372 g,2.291 g,0.649 g,0.772 g,0.800 g,1.661 g,1.182 g,0.395 g,1.042 g,2.187 g,1.062 g,0.899 g,0.208 g,0.834 g,0.993 g,0.25 g,0,0,0,0,0,0,0,0,4.82 g,1.196 g,1.683 g,1.620 g,87.00 mg,0,1.97 g,0,0,65.71 g,1.1172
"Fast foods, and ranch sauce, cheese, with lettuce, grilled chicken in tortilla",100 g,222,10g,3.4g,41mg,577.00 mg,7.9 mg,45.00 mcg,35.00 mcg,5.875 mg,0.590 mg,0.255 mg,0.170 mg,75.00 IU,12.00 mcg,0.00 mcg,25.00 mcg,0.00 mcg,26.00 mcg,0,0.17 mcg,0.194 mg,0.4 mg,2.00 IU,0.45 mg,0.45 mg,17.7 mcg,93.00 mg,0.062 mg,1.45 mg,20.00 mg,0.209 mg,184.00 mg,192.00 mg,23.0 mcg,0.77 mg,13.77 g,0.591 g,0.734 g,0.992 g,0.172 g,2.614 g,0.486 g,0.410 g,0.040 g,0.553 g,1.040 g,0.992 g,0.343 g,0.839 g,0.982 g,0.620 g,0.477 g,0.134 g,0.448 g,0.582 g,18.43 g,0.9 g,1.53 g,0.22 g,0.00 g,0.44 g,0.16 g,0.32 g,0.39 g,10.31 g,3.363 g,2.313 g,3.415 g,41.00 mg,0.0 g,2.31 g,0.00 mg,0.00 mg,55.17 g,0.9044
"Pork, braised, cooked, separable lean and fat, country-style ribs, loin, fresh",100 g,273,18g,6.3g,103mg,58.00 mg,108.2 mg,0.00 mcg,0.00 mcg,5.548 mg,1.363 mg,0.283 mg,0.461 mg,6.00 IU,2.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.96 mcg,0.472 mg,0.0 mg,50.00 IU,0.12 mg,0.12 mg,0.0 mcg,34.00 mg,0.101 mg,1.34 mg,23.00 mg,0.010 mg,202.00 mg,288.00 mg,46.3 mcg,4.23 mg,26.49 g,1.555 g,1.763 g,2.591 g,0.306 g,4.229 g,1.194 g,1.144 g,0.068 g,1.303 g,2.257 g,2.457 g,0.730 g,1.113 g,1.071 g,1.145 g,1.189 g,0.279 g,1.008 g,1.384 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,17.71 g,6.302 g,7.654 g,2.138 g,103.00 mg,0.0 g,0.89 g,0.00 mg,0.00 mg,53.90 g,1.0108
"Chicken, roasted, cooked, with added solution, meat only, drumstick, dark meat",100 g,146,5g,1.4g,124mg,190.00 mg,115.0 mg,4.00 mcg,0.00 mcg,5.913 mg,1.300 mg,0.297 mg,0.102 mg,20.00 IU,6.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,100.00 mcg,0,0.41 mcg,0.413 mg,0.0 mg,6.00 IU,0.23 mg,0.23 mg,0.0 mcg,12.00 mg,0.080 mg,1.10 mg,20.00 mg,0.009 mg,197.00 mg,250.00 mg,30.8 mcg,2.64 mg,25.34 g,1.518 g,1.769 g,2.492 g,0.296 g,4.151 g,1.162 g,0.756 g,0,1.210 g,2.159 g,2.390 g,0.725 g,1.012 g,1.022 g,1.060 g,1.198 g,0.286 g,0.952 g,1.232 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,5.00 g,1.438 g,2.030 g,1.203 g,124.00 mg,0.0 g,1.19 g,0.00 mg,0.00 mg,69.50 g,0.5719
"Turkey from whole, roasted, cooked, with added solution, meat only, light meat",100 g,127,2.1g,0.6g,69mg,238.00 mg,69.8 mg,9.00 mcg,0.00 mcg,11.750 mg,0.900 mg,0.208 mg,0.038 mg,11.00 IU,3.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,1.70 mcg,0.697 mg,0.0 mg,10.00 IU,0.06 mg,0.06 mg,0.0 mcg,13.00 mg,0.062 mg,0.55 mg,30.00 mg,0.011 mg,255.00 mg,249.00 mg,30.2 mcg,1.49 mg,26.97 g,1.458 g,1.527 g,2.156 g,0.254 g,3.657 g,1.151 g,0.731 g,0,0.773 g,1.869 g,2.225 g,0.705 g,0.869 g,1.457 g,1.068 g,0.979 g,0.287 g,0.801 g,0.862 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,2.08 g,0.593 g,0.626 g,0.528 g,69.00 mg,0.0 g,1.44 g,0.00 mg,0.00 mg,70.18 g,0.798
"Chicken, roasted, cooked, with added solution, meat and skin, thigh, dark meat",100 g,214,14g,4.1g,128mg,174.00 mg,93.6 mg,4.00 mcg,0.00 mcg,5.898 mg,1.128 mg,0.243 mg,0.084 mg,56.00 IU,17.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,74.00 mcg,0,0.41 mcg,0.394 mg,0.0 mg,14.00 IU,0.38 mg,0.38 mg,0.0 mcg,11.00 mg,0.073 mg,1.02 mg,23.00 mg,0.011 mg,197.00 mg,254.00 mg,31.1 mcg,1.82 mg,23.47 g,1.148 g,1.339 g,1.886 g,0.224 g,3.141 g,0.879 g,0.572 g,0,0.916 g,1.634 g,1.809 g,0.548 g,0.766 g,0.774 g,0.803 g,0.907 g,0.216 g,0.721 g,0.932 g,0.09 g,0.0 g,0.00 g,0,0,0,0,0,0,13.81 g,4.145 g,6.392 g,3.275 g,128.00 mg,0.0 g,1.14 g,0.00 mg,0.00 mg,62.60 g,0.5985
"Lamb, braised, cooked, separable lean only, neck chops, imported, New Zealand",100 g,264,15g,6.1g,121mg,97.00 mg,0,0,0,4.151 mg,0.415 mg,0.140 mg,0.026 mg,28.00 IU,8.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,2.00 mcg,0.077 mg,0.0 mg,1.00 IU,0.57 mg,0.57 mg,0,58.00 mg,0.123 mg,2.28 mg,22.00 mg,0.010 mg,194.00 mg,289.00 mg,7.8 mcg,5.72 mg,31.40 g,1.561 g,2.114 g,0,0.411 g,4.386 g,1.343 g,0.665 g,0,1.406 g,2.425 g,2.742 g,1.024 g,1.237 g,1.007 g,1.071 g,1.498 g,0.347 g,1.088 g,1.599 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,15.36 g,6.085 g,4.206 g,0.672 g,121.00 mg,0.0 g,1.11 g,0.00 mg,0.00 mg,54.64 g,3.325
"Lamb, braised, cooked, separable lean only, hind-shank, imported, New Zealand",100 g,196,7.4g,2.4g,115mg,72.00 mg,0,0,0,4.450 mg,0.200 mg,0.241 mg,0.030 mg,8.00 IU,2.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,1.60 mcg,0.103 mg,0.0 mg,2.00 IU,0.52 mg,0.52 mg,0,8.00 mg,0.158 mg,2.12 mg,23.00 mg,0.011 mg,180.00 mg,258.00 mg,9.2 mcg,5.41 mg,32.50 g,1.616 g,2.188 g,0,0.425 g,4.540 g,1.390 g,0.688 g,0,1.455 g,2.510 g,2.838 g,1.060 g,1.280 g,1.042 g,1.108 g,1.550 g,0.359 g,1.126 g,1.655 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,7.37 g,2.361 g,2.170 g,0.498 g,115.00 mg,0.0 g,1.10 g,0.00 mg,0.00 mg,60.93 g,3.99
"Chicken, roasted, cooked, meat only, drumstick, dark meat, broilers or fryers",100 g,155,5.7g,1.5g,130mg,128.00 mg,70.3 mg,4.00 mcg,0.00 mcg,5.598 mg,1.100 mg,0.222 mg,0.098 mg,21.00 IU,6.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.38 mcg,0.407 mg,0.0 mg,1.00 IU,0.18 mg,0.18 mg,3.5 mcg,11.00 mg,0.074 mg,1.14 mg,22.00 mg,0.014 mg,200.00 mg,256.00 mg,28.1 mcg,2.56 mg,24.24 g,1.451 g,1.692 g,2.383 g,0.283 g,3.970 g,1.111 g,0.723 g,0,1.157 g,2.065 g,2.286 g,0.693 g,0.968 g,0.978 g,1.014 g,1.146 g,0.273 g,0.911 g,1.178 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,5.70 g,1.505 g,2.181 g,1.202 g,130.00 mg,0.0 g,1.06 g,0.00 mg,0.00 mg,69.93 g,0.931
"POPEYES, skin and breading removed, meat only, Drumstick, Mild, Fried Chicken",100 g,170,7.1g,2.3g,127mg,478.00 mg,0,0,0,6.150 mg,1.469 mg,0.341 mg,0.107 mg,0,0,0,0,0,0,0,0.85 mcg,0.296 mg,0,0,0,0,0,16.00 mg,0.084 mg,1.06 mg,25.00 mg,0.046 mg,206.00 mg,321.00 mg,34.6 mcg,2.59 mg,26.51 g,1.510 g,1.499 g,1.801 g,0.307 g,6.199 g,2.228 g,0.632 g,0.686 g,0.778 g,1.616 g,1.150 g,0.384 g,1.014 g,2.127 g,1.033 g,0.875 g,0.203 g,0.811 g,0.966 g,0.04 g,0,0,0,0,0,0,0,0,7.14 g,2.282 g,3.079 g,1.011 g,127.00 mg,0,2.13 g,0,0,64.18 g,1.064
"Veal, not breaded, pan-fried, cooked, separable lean and fat, leg (top round)",100 g,211,8.4g,3.2g,105mg,76.00 mg,123.2 mg,15.00 mcg,0.00 mcg,12.050 mg,1.170 mg,0.350 mg,0.070 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,1.45 mcg,0.490 mg,0.0 mg,0.00 IU,0.42 mg,0.42 mg,5.0 mcg,6.00 mg,0.062 mg,0.88 mg,31.00 mg,0.031 mg,279.00 mg,425.00 mg,13.4 mcg,3.23 mg,31.75 g,1.888 g,1.867 g,2.739 g,0.358 g,5.022 g,1.632 g,1.152 g,0,1.564 g,2.527 g,2.616 g,0.741 g,1.281 g,1.326 g,1.190 g,1.387 g,0.321 g,1.012 g,1.755 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,8.35 g,3.160 g,3.230 g,0.580 g,105.00 mg,0.0 g,1.40 g,0.00 mg,0.00 mg,58.34 g,3.325
"Cake, in-store bakery, with chocolate frosting, commercially prepared, yellow",100 g,379,18g,5.8g,16mg,310.00 mg,17.4 mg,22.00 mcg,14.00 mcg,0.800 mg,0.165 mg,0.093 mg,0.043 mg,26.00 IU,7.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,14.00 mcg,0,0.00 mcg,0.000 mg,0.0 mg,6.00 IU,4.50 mg,4.50 mg,25.1 mcg,32.00 mg,0.159 mg,2.03 mg,20.00 mg,0.222 mg,138.00 mg,187.00 mg,5.9 mcg,0.42 mg,3.16 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.36 g,1.5 g,39.22 g,0.62 g,0.00 g,1.29 g,0.59 g,0.21 g,36.51 g,17.75 g,5.793 g,7.214 g,4.728 g,16.00 mg,0.0 g,1.35 g,0.00 mg,0.00 mg,22.38 g,1.064
"Fast foods, and ranch sauce, cheese, with lettuce, crispy chicken in tortilla",100 g,275,15g,3.8g,29mg,607.00 mg,25.0 mg,47.00 mcg,32.00 mcg,3.585 mg,0.530 mg,0.265 mg,0.170 mg,81.00 IU,13.00 mcg,0.00 mcg,28.00 mcg,0.00 mcg,59.00 mcg,0,0.15 mcg,0.166 mg,0.3 mg,4.00 IU,1.54 mg,1.54 mg,23.6 mcg,88.00 mg,0.069 mg,1.47 mg,19.00 mg,0.269 mg,186.00 mg,173.00 mg,19.2 mcg,0.72 mg,11.48 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.22 g,1.3 g,2.48 g,0.25 g,0.00 g,0.33 g,0.13 g,0.29 g,1.47 g,15.10 g,3.837 g,4.407 g,4.926 g,29.00 mg,0.0 g,2.32 g,0.00 mg,0.00 mg,47.88 g,2.394
"Fast foods, large patty; with condiments and vegetables, cheeseburger; single",100 g,206,10g,3.9g,34mg,385.00 mg,29.0 mg,47.00 mcg,0,3.327 mg,0,0.281 mg,0.145 mg,258.00 IU,0,0,0,0,0,0,1.01 mcg,0,1.9 mg,0,0,0,0,95.00 mg,0.090 mg,1.86 mg,19.00 mg,0.182 mg,119.00 mg,210.00 mg,0,2.17 mg,11.59 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.81 g,1.4 g,4.00 g,1.72 g,0.00 g,1.39 g,0.26 g,0.47 g,0.17 g,10.36 g,3.893 g,3.518 g,0.298 g,34.00 mg,0,1.68 g,0,0,59.55 g,1.995
"Cereals ready-to-eat, Chocolate Squares, FIBER ONE 80 Calories, GENERAL MILLS",100 g,253,2.9g,0.9g,0,400.00 mg,0,333.00 mcg,0,16.700 mg,0,1.390 mg,1.290 mg,1667.00 IU,0,0,0,0,0,0,5.00 mcg,1.660 mg,20.0 mg,133.00 IU,0,0,0,1333.00 mg,0,15.00 mg,53.00 mg,0,267.00 mg,351.00 mg,0,12.50 mg,3.29 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.00 g,35.2 g,17.29 g,0,0,0,0,0,0,2.90 g,0.890 g,0.690 g,1.100 g,0.00 mg,0,7.40 g,0,0,2.20 g,0.798
"Chicken, braised, cooked, meat and skin, thigh, dark meat, broilers or fryers",100 g,229,15g,4.3g,139mg,76.00 mg,63.3 mg,4.00 mcg,0.00 mcg,5.276 mg,1.118 mg,0.157 mg,0.080 mg,54.00 IU,16.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,20.00 mcg,0,0.43 mcg,0.385 mg,0.0 mg,11.00 IU,0.17 mg,0.17 mg,0.3 mcg,11.00 mg,0.048 mg,1.21 mg,23.00 mg,0.018 mg,187.00 mg,245.00 mg,26.6 mcg,1.64 mg,22.57 g,1.434 g,1.589 g,1.994 g,0.232 g,3.268 g,1.819 g,0.585 g,0,0.894 g,1.638 g,1.777 g,0.535 g,0.811 g,1.249 g,0.893 g,0.920 g,0.195 g,0.716 g,0.974 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,15.43 g,4.253 g,6.488 g,2.963 g,139.00 mg,0.0 g,0.91 g,0.00 mg,0.00 mg,61.93 g,1.33
"Chicken, braised, cooked, meat only, drumstick, dark meat, broilers or fryers",100 g,149,6g,1.6g,132mg,117.00 mg,72.0 mg,5.00 mcg,0.00 mcg,5.046 mg,1.100 mg,0.180 mg,0.088 mg,24.00 IU,7.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.41 mcg,0.372 mg,0.0 mg,2.00 IU,0.17 mg,0.17 mg,0.2 mcg,12.00 mg,0.063 mg,0.94 mg,22.00 mg,0.018 mg,184.00 mg,239.00 mg,27.9 mcg,2.54 mg,23.93 g,1.433 g,1.671 g,2.353 g,0.280 g,3.921 g,1.097 g,0.714 g,0,1.143 g,2.039 g,2.258 g,0.685 g,0.956 g,0.966 g,1.002 g,1.132 g,0.270 g,0.900 g,1.163 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,5.95 g,1.601 g,2.375 g,1.280 g,132.00 mg,0.0 g,0.98 g,0.00 mg,0.00 mg,69.94 g,0.931
"Yogurt, fortified with vitamin D, 9 grams protein per 8 ounce, low fat, fruit",100 g,99,1.2g,0.7g,5mg,53.00 mg,15.2 mg,9.00 mcg,0.00 mcg,0.086 mg,0.446 mg,0.162 mg,0.034 mg,40.00 IU,11.00 mcg,0.00 mcg,2.00 mcg,0.00 mcg,0.00 mcg,0,0.43 mcg,0.037 mg,0.6 mg,52.00 IU,0.02 mg,0.02 mg,0.1 mcg,138.00 mg,0.079 mg,0.06 mg,13.00 mg,0.064 mg,109.00 mg,177.00 mg,2.8 mcg,0.67 mg,3.98 g,0.170 g,0.120 g,0.316 g,0.036 g,0.779 g,0.096 g,0.099 g,0,0.217 g,0.401 g,0.357 g,0.117 g,0.217 g,0.472 g,0.246 g,0.163 g,0.022 g,0.201 g,0.329 g,18.64 g,0.0 g,18.64 g,0,0,0,0,0,0,1.15 g,0.742 g,0.316 g,0.033 g,5.00 mg,0.0 g,0.93 g,0.00 mg,0.00 mg,75.30 g,0.399
"KFC, skin and breading removed, meat only, Wing, EXTRA CRISPY, Fried Chicken",100 g,236,12g,2.6g,146mg,714.00 mg,0,0,0,7.136 mg,1.200 mg,0.149 mg,0.028 mg,0,0,0,0,0,0,0,0.41 mcg,0.401 mg,0,0,0,0,0,30.00 mg,0.061 mg,0.89 mg,25.00 mg,0.094 mg,226.00 mg,265.00 mg,31.9 mcg,1.75 mg,28.67 g,1.633 g,1.621 g,1.947 g,0.332 g,6.703 g,2.410 g,0.683 g,0.787 g,0.841 g,1.748 g,1.244 g,0.415 g,1.096 g,2.300 g,1.117 g,0.946 g,0.219 g,0.877 g,1.044 g,2.97 g,0,0,0,0,0,0,0,0,12.13 g,2.603 g,3.917 g,4.045 g,146.00 mg,0,2.39 g,0,0,53.85 g,0.798
"Beef, braised, cooked, separable lean only, hind shin, imported, New Zealand",100 g,167,4.6g,1.4g,89mg,44.00 mg,0,0,0,2.698 mg,0.190 mg,0.118 mg,0.019 mg,27.00 IU,8.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,1.26 mcg,0.144 mg,0.0 mg,7.00 IU,0.74 mg,0.74 mg,0,6.00 mg,0.111 mg,2.72 mg,20.00 mg,0.012 mg,155.00 mg,217.00 mg,2.0 mcg,6.15 mg,31.23 g,1.625 g,2.054 g,0,0,4.355 g,1.701 g,1.125 g,0,1.298 g,2.356 g,2.473 g,1.027 g,1.214 g,1.002 g,1.098 g,1.131 g,0.327 g,1.051 g,1.378 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,4.64 g,1.369 g,1.781 g,0.308 g,89.00 mg,0.0 g,1.62 g,0.00 mg,0.00 mg,64.40 g,1.7689
"Lamb, soaked and simmered, cooked, tongue - swiss cut, imported, New Zealand",100 g,272,22g,7.3g,126mg,52.00 mg,0,0,0,2.272 mg,0.578 mg,0.341 mg,0.036 mg,5.00 IU,1.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,5.22 mcg,0.077 mg,0.0 mg,12.00 IU,0.16 mg,0.16 mg,0,6.00 mg,0.199 mg,1.74 mg,15.00 mg,0.020 mg,143.00 mg,132.00 mg,9.1 mcg,2.07 mg,17.51 g,0.871 g,1.179 g,0,0.229 g,2.447 g,0.749 g,0.371 g,0,0.784 g,1.352 g,1.530 g,0.571 g,0.690 g,0.561 g,0.597 g,0.835 g,0.194 g,0.607 g,0.892 g,0.86 g,0.0 g,0.00 g,0,0,0,0,0,0,22.04 g,7.341 g,7.761 g,1.258 g,126.00 mg,0.0 g,0.84 g,0.00 mg,0.00 mg,58.74 g,2.2211
